year,week,team,motion_snaps,play_action_pct,,,,,
2018,1,ari,13,0.139,,,,,
2018,1,atl,45,0.234,,,,,
2018,1,bal,41,0.375,,,,,
2018,1,buf,21,0.205,,,,,
2018,1,car,33,0.345,,,,,
2018,1,chi,22,0.256,,,,,
2018,1,cin,29,0.5,,,,,
2018,1,clv,41,0.17,,,,,
2018,1,dal,21,0.2,,,,,
2018,1,den,45,0.225,,,,,
2018,1,det,26,0.135,,,,,
2018,1,gb,18,0.146,,,,,
2018,1,hou,25,0.243,,,,,
2018,1,ind,22,0.091,,,,,
2018,1,jax,15,0.382,,,,,
2018,1,kc,31,0.321,,,,,
2018,1,lac,41,0.154,,,,,
2018,1,lar,39,0.471,,,,,
2018,1,lv,26,0.073,,,,,
2018,1,mia,30,0.345,,,,,
2018,1,min,27,0.205,,,,,
2018,1,ne,44,0.22,,,,,
2018,1,no,21,0.109,,,,,
2018,1,nyg,30,0.282,,,,,
2018,1,nyj,29,0.478,,,,,
2018,1,phi,28,0.27,,,,,
2018,1,pit,33,0.222,,,,,
2018,1,sea,22,0.205,,,,,
2018,1,sf,40,0.278,,,,,
2018,1,tb,24,0.25,,,,,
2018,1,ten,51,0.184,,,,,
2018,1,wsh,34,0.273,,,,,
2018,2,ari,17,0.071,,,,,
2018,2,atl,35,0.429,,,,,
2018,2,bal,28,0.186,,,,,
2018,2,buf,19,0.158,,,,,
2018,2,car,30,0.234,,,,,
2018,2,chi,23,0.167,,,,,
2018,2,cin,31,0.31,,,,,
2018,2,clv,24,0.242,,,,,
2018,2,dal,26,0.44,,,,,
2018,2,den,25,0.25,,,,,
2018,2,det,43,0.2,,,,,
2018,2,gb,36,0.261,,,,,
2018,2,hou,11,0.306,,,,,
2018,2,ind,29,0.188,,,,,
2018,2,jax,28,0.333,,,,,
2018,2,kc,24,0.172,,,,,
2018,2,lac,37,0.207,,,,,
2018,2,lar,41,0.353,,,,,
2018,2,lv,15,0.333,,,,,
2018,2,mia,18,0.185,,,,,
2018,2,min,28,0.24,,,,,
2018,2,ne,40,0.351,,,,,
2018,2,no,35,0.158,,,,,
2018,2,nyg,22,0.14,,,,,
2018,2,nyj,21,0.205,,,,,
2018,2,phi,26,0.392,,,,,
2018,2,pit,24,0.066,,,,,
2018,2,sea,23,0.143,,,,,
2018,2,sf,53,0.375,,,,,
2018,2,tb,24,0.314,,,,,
2018,2,ten,47,0.348,,,,,
2018,2,wsh,27,0.163,,,,,
2018,3,atl,47,0.263,,,,,
2018,3,bal,42,0.238,,,,,
2018,3,buf,31,0.68,,,,,
2018,3,car,51,0.48,,,,,
2018,3,chi,24,0.237,,,,,
2018,3,cin,39,0.354,,,,,
2018,3,clv,27,0.341,,,,,
2018,3,dal,27,0.154,,,,,
2018,3,den,28,0.162,,,,,
2018,3,det,34,0.216,,,,,
2018,3,gb,27,0.184,,,,,
2018,3,ten,44,0.333,,,,,
2018,3,hou,10,0.186,,,,,
2018,3,ind,22,0.163,,,,,
2018,3,jax,11,0.405,,,,,
2018,3,kc,33,0.325,,,,,
2018,3,lar,38,0.243,,,,,
2018,3,lv,17,0.262,,,,,
2018,3,mia,24,0.32,,,,,
2018,3,min,16,0.034,,,,,
2018,3,ne,15,0.214,,,,,
2018,3,no,39,0.18,,,,,
2018,3,nyg,27,0.212,,,,,
2018,3,nyj,22,0.333,,,,,
2018,3,phi,34,0.31,,,,,
2018,3,ari,26,0.2,,,,,
2018,3,pit,24,0.073,,,,,
2018,3,lac,40,0.125,,,,,
2018,3,sf,42,0.294,,,,,
2018,3,sea,30,0.214,,,,,
2018,3,tb,23,0.113,,,,,
2018,3,wsh,21,0.35,,,,,
2018,4,atl,41,0.238,,,,,
2018,4,bal,42,0.227,,,,,
2018,4,buf,16,0.125,,,,,
2018,4,chi,16,0.296,,,,,
2018,4,cin,31,0.25,,,,,
2018,4,clv,22,0.302,,,,,
2018,4,dal,32,0.367,,,,,
2018,4,den,30,0.216,,,,,
2018,4,det,24,0.121,,,,,
2018,4,gb,31,0.333,,,,,
2018,4,ten,56,0.283,,,,,
2018,4,hou,20,0.204,,,,,
2018,4,ind,21,0.182,,,,,
2018,4,jax,23,0.3,,,,,
2018,4,kc,26,0.283,,,,,
2018,4,lar,33,0.486,,,,,
2018,4,lv,27,0.115,,,,,
2018,4,mia,20,0.259,,,,,
2018,4,min,39,0.222,,,,,
2018,4,ne,43,0.343,,,,,
2018,4,no,31,0.314,,,,,
2018,4,nyg,16,0.227,,,,,
2018,4,nyj,17,0.081,,,,,
2018,4,phi,20,0.296,,,,,
2018,4,ari,31,0.321,,,,,
2018,4,pit,18,0.104,,,,,
2018,4,lac,48,0.325,,,,,
2018,4,sf,42,0.211,,,,,
2018,4,sea,30,0.25,,,,,
2018,4,tb,32,0.143,,,,,
