year,team,zone_%
2024,ARI,30
2024,ATL,70
2024,BAL,50
2024,BUF,45
2024,CAR,60
2024,CHI,40
2024,CIN,45
2024,CLE,50
2024,DAL,55
2024,DEN,50
2024,DET,60
2024,GB,50
2024,HOU,60
2024,IND,45
2024,JAX,40
2024,KC,50
2024,LV,50
2024,LA,45
2024,LAC,40
2024,MIA,55
2024,MIN,50
2024,NE,40
2024,NO,65
2024,NYG,45
2024,NYJ,60
2024,PHI,50
2024,PIT,65
2024,SF,65
2024,SEA,45
2024,TB,40
2024,TEN,35
2024,WSH,45
2023,ARI,40
2023,ATL,65
2023,BAL,40
2023,BUF,30
2023,CAR,55
2023,CHI,55
2023,CIN,40
2023,CLE,35
2023,DAL,45
2023,DEN,45
2023,DET,50
2023,GB,50
2023,HOU,50
2023,IND,60
2023,JAX,40
2023,KC,60
2023,LV,40
2023,LA,35
2023,LAC,50
2023,MIA,60
2023,MIN,50
2023,NE,35
2023,NO,50
2023,NYG,55
2023,NYJ,50
2023,PHI,55
2023,PIT,50
2023,SF,60
2023,SEA,60
2023,TB,50
2023,TEN,50
2023,WSH,60
2022,ARI,40
2022,ATL,70
2022,BAL,20
2022,BUF,30
2022,CAR,45
2022,CHI,50
2022,CIN,30
2022,CLE,35
2022,DAL,45
2022,DEN,60
2022,DET,40
2022,GB,60
2022,HOU,45
2022,IND,55
2022,JAX,45
2022,KC,60
2022,LV,25
2022,LA,45
2022,LAC,45
2022,MIA,55
2022,MIN,60
2022,NE,35
2022,NO,45
2022,NYG,40
2022,NYJ,50
2022,PHI,50
2022,PIT,55
2022,SF,55
2022,SEA,60
2022,TB,30
2022,TEN,50
2022,WSH,50
2021,ARI,55
2021,ATL,70
2021,BAL,30
2021,BUF,40
2021,CAR,50
2021,CHI,70
2021,CIN,60
2021,CLE,35
2021,DAL,50
2021,DEN,50
2021,DET,45
2021,GB,65
2021,HOU,40
2021,IND,55
2021,JAX,55
2021,KC,60
2021,LV,60
2021,LA,65
2021,LAC,50
2021,MIA,40
2021,MIN,70
2021,NE,15
2021,NO,45
2021,NYG,40
2021,NYJ,55
2021,PHI,60
2021,PIT,50
2021,SF,55
2021,SEA,60
2021,TB,25
2021,TEN,60
2021,WSH,65
2020,ARI,50
2020,ATL,50
2020,BAL,20
2020,BUF,50
2020,CAR,45
2020,CHI,75
2020,CIN,60
2020,CLE,45
2020,DAL,60
2020,DEN,45
2020,DET,50
2020,GB,70
2020,HOU,70
2020,IND,55
2020,JAX,55
2020,KC,65
2020,LV,60
2020,LA,50
2020,LAC,50
2020,MIA,50
2020,MIN,70
2020,NE,25
2020,NO,50
2020,NYG,30
2020,NYJ,70
2020,PHI,60
2020,PIT,35
2020,SF,60
2020,SEA,65
2020,TB,35
2020,TEN,65
2020,WSH,50
2019,ARI,50
2019,ATL,50
2019,BAL,20
2019,BUF,30
2019,CAR,45
2019,CHI,65
2019,CIN,65
2019,CLE,45
2019,DAL,60
2019,DEN,55
2019,DET,50
2019,GB,70
2019,HOU,70
2019,IND,50
2019,JAX,50
2019,KC,65
2019,LV,70
2019,LA,50
2019,LAC,40
2019,MIA,35
2019,MIN,65
2019,NE,30
2019,NO,40
2019,NYG,50
2019,NYJ,50
2019,PHI,60
2019,PIT,35
2019,SF,55
2019,SEA,70
2019,TB,40
2019,TEN,70
2019,WSH,40
2018,ARI,45
2018,ATL,65
2018,BAL,30
2018,BUF,50
2018,CAR,40
2018,CHI,60
2018,CIN,60
2018,CLE,45
2018,DAL,45
2018,DEN,45
2018,DET,50
2018,GB,65
2018,HOU,65
2018,IND,35
2018,JAX,60
2018,KC,60
2018,LV,65
2018,LA,60
2018,LAC,30
2018,MIA,65
2018,MIN,55
2018,NE,30
2018,NO,50
2018,NYG,60
2018,NYJ,50
2018,PHI,60
2018,PIT,35
2018,SF,70
2018,SEA,60
2018,TB,50
2018,TEN,70
2018,WSH,40
2017,ARI,40
2017,ATL,70
2017,BAL,40
2017,BUF,50
2017,CAR,30
2017,CHI,70
2017,CIN,45
2017,CLE,60
2017,DAL,60
2017,DEN,40
2017,DET,50
2017,GB,50
2017,HOU,65
2017,IND,70
2017,JAX,55
2017,KC,50
2017,LV,50
2017,LA,60
2017,LAC,35
2017,MIA,55
2017,MIN,55
2017,NE,35
2017,NO,40
2017,NYG,40
2017,NYJ,55
2017,PHI,45
2017,PIT,40
2017,SF,70
2017,SEA,70
2017,TB,50
2017,TEN,35
2017,WSH,40
2025,ARI,22
2025,ATL,67
2025,BAL,51
2025,BUF,38
2025,CAR,44
2025,CHI,55
2025,CIN,45
2025,CLE,37
2025,DAL,45
2025,DEN,33
2025,DET,53
2025,GB,48
2025,HOU,40
2025,IND,38
2025,JAX,43
2025,KC,53
2025,LV,51
2025,LA,48
2025,LAC,38
2025,MIA,51
2025,MIN,47
2025,NE,25
2025,NO,54
2025,NYG,47
2025,NYJ,55
2025,PHI,41
2025,PIT,54
2025,SF,54
2025,SEA,53
2025,TB,33
2025,TEN,42
2025,WSH,29
