season,week,team,off_play_caller_name,def_play_caller_name,head_coach
1999,1,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,2,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,3,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,4,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,5,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,6,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,8,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,9,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,10,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,11,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,12,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,13,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,14,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,15,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,16,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,17,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,1,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,2,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,4,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,5,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,6,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,7,ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,8,ARI,Marc Trestman,Larry Marmie,Vince Tobin
2000,9,ARI,Marc Trestman,Larry Marmie,Vince Tobin
2000,10,ARI,Marc Trestman,Larry Marmie,Vince Tobin
2000,11,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,12,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,13,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,14,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,15,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,16,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,17,ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2001,2,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,3,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,4,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,5,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,6,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,7,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,8,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,9,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,10,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,11,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,12,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,13,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,14,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,15,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,16,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,17,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,1,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,2,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,3,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,4,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,5,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,7,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,8,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,9,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,10,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,11,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,12,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,13,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,14,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,15,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,16,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,17,ARI,Rich Olson,Larry Marmie,Dave McGinnis
2003,1,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,2,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,3,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,4,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,5,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,6,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,8,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,9,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,10,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,11,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,12,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,13,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,14,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,15,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,16,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,17,ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2004,1,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,2,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,3,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,4,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,5,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,7,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,8,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,9,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,10,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,11,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,12,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,13,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,14,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,15,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,16,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,17,ARI,Alex Wood,Clancy Pendergast,Dennis Green
2005,1,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,2,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,3,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,4,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,5,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,7,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,8,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,9,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,10,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,11,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,12,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,13,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,14,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,15,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,16,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2005,17,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,1,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,2,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,3,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,4,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,5,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,6,ARI,Keith Rowen,Clancy Pendergast,Dennis Green
2006,7,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,8,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,10,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,11,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,12,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,13,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,14,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,15,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,16,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2006,17,ARI,Mike Kruczek,Clancy Pendergast,Dennis Green
2007,1,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,2,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,3,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,4,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,5,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,6,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
2007,7,ARI,Todd Haley,Clancy Pendergast,Ken Whisenhunt
