team,team_implied_pts,opp_implied_pts,total_line,is_favorite,implied_point_diff
ARI,19,25.5,44.5,0,-6.5
ATL,21,27.5,48.5,0,-6.5
BAL,26.5,23,49.5,1,3.5
BUF,30,20.5,50.5,1,9.5
CAR,22.5,17,39.5,1,5.5
CHI,25.5,21,46.5,1,4.5
CIN,0,0,,0,0
CLE,19.5,18,37.5,1,1.5
DAL,0,0,,0,0
DEN,26,16.5,42.5,1,9.5
DET,28.5,21,49.5,1,7.5
GB,24,21.5,45.5,1,2.5
HOU,18,19.5,37.5,0,-1.5
IND,27.5,21,48.5,1,6.5
JAX,19.5,18,37.5,1,1.5
KC,0,0,,0,0
LV,16.5,26,42.5,0,-9.5
LA,27,22.5,49.5,1,4.5
LAC,24.25,21.25,45.5,1,3
MIA,20.5,30,50.5,0,-9.5
MIN,23,26.5,49.5,0,-3.5
NE,23,25.5,48.5,0,-2.5
NO,17,22.5,39.5,0,-5.5
NYG,21,25.5,46.5,0,-4.5
NYJ,18,19.5,37.5,0,-1.5
PHI,21.5,24,45.5,0,-2.5
PIT,21.25,24.25,45.5,0,-3
SF,22.5,27,49.5,0,-4.5
SEA,25.5,19,44.5,1,6.5
TB,25.5,23,48.5,1,2.5
TEN,0,0,,0,0
WAS,21,28.5,49.5,0,-7.5
