coach_name,coach_uid,season,week,quarter,team_code
Steve Keim,214_Keim,2018,1,1,ARI
Steve Keim,214_Keim,2018,1,2,ARI
Steve Keim,214_Keim,2018,1,3,ARI
Steve Keim,214_Keim,2018,1,4,ARI
Thomas Dimitroff,221_Dimitroff,2018,1,1,ATL
Thomas Dimitroff,221_Dimitroff,2018,1,2,ATL
Thomas Dimitroff,221_Dimitroff,2018,1,3,ATL
Thomas Dimitroff,221_Dimitroff,2018,1,4,ATL
Ozzie Newsome,176_Newsome,2018,1,1,BAL
Ozzie Newsome,176_Newsome,2018,1,2,BAL
Ozzie Newsome,176_Newsome,2018,1,3,BAL
Ozzie Newsome,176_Newsome,2018,1,4,BAL
Brandon Beane,23_Beane,2018,1,1,BUF
Brandon Beane,23_Beane,2018,1,2,BUF
Brandon Beane,23_Beane,2018,1,3,BUF
Brandon Beane,23_Beane,2018,1,4,BUF
Marty Hurney,140_Hurney,2018,1,1,CAR
Marty Hurney,140_Hurney,2018,1,2,CAR
Marty Hurney,140_Hurney,2018,1,3,CAR
Marty Hurney,140_Hurney,2018,1,4,CAR
Ryan Pace,202_Pace,2018,1,1,CHI
Ryan Pace,202_Pace,2018,1,2,CHI
Ryan Pace,202_Pace,2018,1,3,CHI
Ryan Pace,202_Pace,2018,1,4,CHI
Duke Tobin,62_Tobin,2018,1,1,CIN
Duke Tobin,62_Tobin,2018,1,2,CIN
Duke Tobin,62_Tobin,2018,1,3,CIN
Duke Tobin,62_Tobin,2018,1,4,CIN
John Dorsey,104_Dorsey,2018,1,1,CLE
John Dorsey,104_Dorsey,2018,1,2,CLE
John Dorsey,104_Dorsey,2018,1,3,CLE
John Dorsey,104_Dorsey,2018,1,4,CLE
Jerry Jones,90_Jones,2018,1,1,DAL
Jerry Jones,90_Jones,2018,1,2,DAL
Jerry Jones,90_Jones,2018,1,3,DAL
Jerry Jones,90_Jones,2018,1,4,DAL
John Elway,105_Elway,2018,1,1,DEN
John Elway,105_Elway,2018,1,2,DEN
John Elway,105_Elway,2018,1,3,DEN
John Elway,105_Elway,2018,1,4,DEN
Bob Quinn,19_Quinn,2018,1,1,DET
Bob Quinn,19_Quinn,2018,1,2,DET
Bob Quinn,19_Quinn,2018,1,3,DET
Bob Quinn,19_Quinn,2018,1,4,DET
Brian Gutekunst,30_Gutekunst,2018,1,1,GB
Brian Gutekunst,30_Gutekunst,2018,1,2,GB
Brian Gutekunst,30_Gutekunst,2018,1,3,GB
Brian Gutekunst,30_Gutekunst,2018,1,4,GB
Brian Gaine,29_Gaine,2018,1,1,HOU
Brian Gaine,29_Gaine,2018,1,2,HOU
Brian Gaine,29_Gaine,2018,1,3,HOU
Brian Gaine,29_Gaine,2018,1,4,HOU
Chris Ballard,38_Ballard,2018,1,1,IND
Chris Ballard,38_Ballard,2018,1,2,IND
Chris Ballard,38_Ballard,2018,1,3,IND
Chris Ballard,38_Ballard,2018,1,4,IND
David Caldwell,50_Caldwell,2018,1,1,JAX
David Caldwell,50_Caldwell,2018,1,2,JAX
David Caldwell,50_Caldwell,2018,1,3,JAX
David Caldwell,50_Caldwell,2018,1,4,JAX
Brett Veach,25_Veach,2018,1,1,KC
Brett Veach,25_Veach,2018,1,2,KC
Brett Veach,25_Veach,2018,1,3,KC
Brett Veach,25_Veach,2018,1,4,KC
Tom Telesco,228_Telesco,2018,1,1,LAC
Tom Telesco,228_Telesco,2018,1,2,LAC
Tom Telesco,228_Telesco,2018,1,3,LAC
Tom Telesco,228_Telesco,2018,1,4,LAC
Les Snead,129_Snead,2018,1,1,LA
Les Snead,129_Snead,2018,1,2,LA
Les Snead,129_Snead,2018,1,3,LA
Les Snead,129_Snead,2018,1,4,LA
Chris Grier,39_Grier,2018,1,1,MIA
Chris Grier,39_Grier,2018,1,2,MIA
Chris Grier,39_Grier,2018,1,3,MIA
Chris Grier,39_Grier,2018,1,4,MIA
Rick Spielman,194_Spielman,2018,1,1,MIN
Rick Spielman,194_Spielman,2018,1,2,MIN
Rick Spielman,194_Spielman,2018,1,3,MIN
Rick Spielman,194_Spielman,2018,1,4,MIN
Bill Belichick,14_Belichick,2018,1,1,NE
Bill Belichick,14_Belichick,2018,1,2,NE
Bill Belichick,14_Belichick,2018,1,3,NE
Bill Belichick,14_Belichick,2018,1,4,NE
Mickey Loomis,152_Loomis,2018,1,1,NO
Mickey Loomis,152_Loomis,2018,1,2,NO
Mickey Loomis,152_Loomis,2018,1,3,NO
Mickey Loomis,152_Loomis,2018,1,4,NO
Dave Gettleman,47_Gettleman,2018,1,1,NYG
Dave Gettleman,47_Gettleman,2018,1,2,NYG
Dave Gettleman,47_Gettleman,2018,1,3,NYG
Dave Gettleman,47_Gettleman,2018,1,4,NYG
Mike Maccagnan,157_Maccagnan,2018,1,1,NYJ
Mike Maccagnan,157_Maccagnan,2018,1,2,NYJ
Mike Maccagnan,157_Maccagnan,2018,1,3,NYJ
Mike Maccagnan,157_Maccagnan,2018,1,4,NYJ
Reggie McKenzie,190_McKenzie,2018,1,1,LV
Reggie McKenzie,190_McKenzie,2018,1,2,LV
Reggie McKenzie,190_McKenzie,2018,1,3,LV
Reggie McKenzie,190_McKenzie,2018,1,4,LV
Howie  Roseman,80_ Roseman,2018,1,1,PHI
Howie  Roseman,80_ Roseman,2018,1,2,PHI
Howie  Roseman,80_ Roseman,2018,1,3,PHI
