coach_name,coach_uid,season,week,quarter,team_code
Steve Wilks,217_Wilks,2018,1,1,ARI
Steve Wilks,217_Wilks,2018,1,2,ARI
Steve Wilks,217_Wilks,2018,1,3,ARI
Steve Wilks,217_Wilks,2018,1,4,ARI
Dan Quinn,44_Quinn,2018,1,1,ATL
Dan Quinn,44_Quinn,2018,1,2,ATL
Dan Quinn,44_Quinn,2018,1,3,ATL
Dan Quinn,44_Quinn,2018,1,4,ATL
John Harbaugh,106_Harbaugh,2018,1,1,BAL
John Harbaugh,106_Harbaugh,2018,1,2,BAL
John Harbaugh,106_Harbaugh,2018,1,3,BAL
John Harbaugh,106_Harbaugh,2018,1,4,BAL
Sean McDermott,208_McDermott,2018,1,1,BUF
Sean McDermott,208_McDermott,2018,1,2,BUF
Sean McDermott,208_McDermott,2018,1,3,BUF
Sean McDermott,208_McDermott,2018,1,4,BUF
Ron Rivera,198_Rivera,2018,1,1,CAR
Ron Rivera,198_Rivera,2018,1,2,CAR
Ron Rivera,198_Rivera,2018,1,3,CAR
Ron Rivera,198_Rivera,2018,1,4,CAR
Matt Nagy,148_Nagy,2018,1,1,CHI
Matt Nagy,148_Nagy,2018,1,2,CHI
Matt Nagy,148_Nagy,2018,1,3,CHI
Matt Nagy,148_Nagy,2018,1,4,CHI
Marvin Lewis,142_Lewis,2018,1,1,CIN
Marvin Lewis,142_Lewis,2018,1,2,CIN
Marvin Lewis,142_Lewis,2018,1,3,CIN
Marvin Lewis,142_Lewis,2018,1,4,CIN
Hue Jackson,81_Jackson,2018,1,1,CLE
Hue Jackson,81_Jackson,2018,1,2,CLE
Hue Jackson,81_Jackson,2018,1,3,CLE
Hue Jackson,81_Jackson,2018,1,4,CLE
Jason Garrett,84_Garrett,2018,1,1,DAL
Jason Garrett,84_Garrett,2018,1,2,DAL
Jason Garrett,84_Garrett,2018,1,3,DAL
Jason Garrett,84_Garrett,2018,1,4,DAL
Vance Joseph,231_Joseph,2018,1,1,DEN
Vance Joseph,231_Joseph,2018,1,2,DEN
Vance Joseph,231_Joseph,2018,1,3,DEN
Vance Joseph,231_Joseph,2018,1,4,DEN
Matt Patricia,149_Patricia,2018,1,1,DET
Matt Patricia,149_Patricia,2018,1,2,DET
Matt Patricia,149_Patricia,2018,1,3,DET
Matt Patricia,149_Patricia,2018,1,4,DET
Mike McCarthy,160_McCarthy,2018,1,1,GB
Mike McCarthy,160_McCarthy,2018,1,2,GB
Mike McCarthy,160_McCarthy,2018,1,3,GB
Mike McCarthy,160_McCarthy,2018,1,4,GB
Bill O'Brien,18_O'Brien,2018,1,1,HOU
Bill O'Brien,18_O'Brien,2018,1,2,HOU
Bill O'Brien,18_O'Brien,2018,1,3,HOU
Bill O'Brien,18_O'Brien,2018,1,4,HOU
Frank Reich,68_Reich,2018,1,1,IND
Frank Reich,68_Reich,2018,1,2,IND
Frank Reich,68_Reich,2018,1,3,IND
Frank Reich,68_Reich,2018,1,4,IND
Doug Marrone,58_Marrone,2018,1,1,JAX
Doug Marrone,58_Marrone,2018,1,2,JAX
Doug Marrone,58_Marrone,2018,1,3,JAX
Doug Marrone,58_Marrone,2018,1,4,JAX
Andy Reid,8_Reid,2018,1,1,KC
Andy Reid,8_Reid,2018,1,2,KC
Andy Reid,8_Reid,2018,1,3,KC
Andy Reid,8_Reid,2018,1,4,KC
Anthony Lynn,9_Lynn,2018,1,1,LAC
Anthony Lynn,9_Lynn,2018,1,2,LAC
Anthony Lynn,9_Lynn,2018,1,3,LAC
Anthony Lynn,9_Lynn,2018,1,4,LAC
Sean McVay,209_McVay,2018,1,1,LA
Sean McVay,209_McVay,2018,1,2,LA
Sean McVay,209_McVay,2018,1,3,LA
Sean McVay,209_McVay,2018,1,4,LA
Adam Gase,1_Gase,2018,1,1,MIA
Adam Gase,1_Gase,2018,1,2,MIA
Adam Gase,1_Gase,2018,1,3,MIA
Adam Gase,1_Gase,2018,1,4,MIA
Mike Zimmer,168_Zimmer,2018,1,1,MIN
Mike Zimmer,168_Zimmer,2018,1,2,MIN
Mike Zimmer,168_Zimmer,2018,1,3,MIN
Mike Zimmer,168_Zimmer,2018,1,4,MIN
Bill Belichick,14_Belichick,2018,1,1,NE
Bill Belichick,14_Belichick,2018,1,2,NE
Bill Belichick,14_Belichick,2018,1,3,NE
Bill Belichick,14_Belichick,2018,1,4,NE
Sean Payton,210_Payton,2018,1,1,NO
Sean Payton,210_Payton,2018,1,2,NO
Sean Payton,210_Payton,2018,1,3,NO
Sean Payton,210_Payton,2018,1,4,NO
Pat Shurmur,177_Shurmur,2018,1,1,NYG
Pat Shurmur,177_Shurmur,2018,1,2,NYG
Pat Shurmur,177_Shurmur,2018,1,3,NYG
Pat Shurmur,177_Shurmur,2018,1,4,NYG
Todd Bowles,223_Bowles,2018,1,1,NYJ
