season,week,team,off_play_caller_name,def_play_caller_name,head_coach_name,off_play_caller_id,def_play_caller_id,head_coach_id
2017,1,ARI,Bruce Arians,James Bettcher,Bruce Arians,c-29,c-77,c-29
2018,1,ARI,Mike McCoy,Al Holcomb,Steve Wilks,c-145,c-4,c-197
2018,8,ARI,Byron Leftwich,Al Holcomb,Steve Wilks,c-30,c-4,c-197
2019,1,ARI,Kliff Kingsbury,Vance Joseph,Kliff Kingsbury,c-120,c-211,c-120
2021,6,ARI,Spencer Whipple,Vance Joseph,Kliff Kingsbury,c-194,c-211,c-120
2021,7,ARI,Kliff Kingsbury,Vance Joseph,Kliff Kingsbury,c-120,c-211,c-120
2023,1,ARI,Drew Petzing,Nick Rallis,Jonathan Gannon,c-58,c-158,c-107
2017,1,ATL,Steve Sarkisian,Marquand Manuel,Dan Quinn,c-195,c-130,c-40
2019,1,ATL,Dirk Koetter,Dan Quinn,Dan Quinn,c-52,c-40,c-40
2020,6,ATL,Dirk Koetter,Raheem Morris,Raheem Morris,c-52,c-171,c-171
2021,1,ATL,Arthur Smith,Dean Pees,Arthur Smith,c-12,c-45,c-12
2023,1,ATL,Arthur Smith,Ryan Nielsen,Arthur Smith,c-12,c-182,c-12
2024,1,ATL,Zac Robinson,Jimmy Lake,Raheem Morris,c-214,c-93,c-171
2025,1,ATL,Zac Robinson,Jeff Ulbirch,Raheem Morris,c-214,c-83,c-171
2017,1,BAL,Marty Mornhinweg,Dean Pees,John Harbaugh,c-131,c-45,c-104
2018,1,BAL,Marty Mornhinweg,Don Martindale,John Harbaugh,c-131,c-54,c-104
2019,1,BAL,Greg Roman,Don Martindale,John Harbaugh,c-72,c-54,c-104
2022,1,BAL,Greg Roman,Mike Macdonald,John Harbaugh,c-72,c-143,c-104
2023,1,BAL,Todd Monken,Mike Macdonald,John Harbaugh,c-208,c-143,c-104
2024,1,BAL,Todd Monken,Zach Orr,John Harbaugh,c-208,c-216,c-104
2017,1,BUF,Rick Dennison,Leslie Frazier,Sean McDermott,c-175,c-124,c-187
2018,1,BUF,Brian Daboll,Leslie Frazier,Sean McDermott,c-25,c-124,c-187
2022,1,BUF,Ken Dorsey,Leslie Frazier,Sean McDermott,c-113,c-124,c-187
2023,1,BUF,Ken Dorsey,Sean McDermott,Sean McDermott,c-113,c-187,c-187
2023,11,BUF,Joe Brady,Sean McDermott,Sean McDermott,c-95,c-187,c-187
2017,1,CAR,Mike Shula,Steve Wilks,Ron Rivera,c-150,c-197,c-180
2018,1,CAR,Norv Turner,Eric Washington,Ron Rivera,c-161,c-62,c-180
2018,14,CAR,Norv Turner,Ron Rivera,Ron Rivera,c-161,c-180,c-180
2019,14,CAR,Scott Turner,Ron Rivera,Ron Rivera,c-185,c-180,c-180
2020,1,CAR,Joe Brady,Phil Snow,Matt Rhule,c-95,c-169,c-139
2021,14,CAR,Jeff Nixon,Phil Snow,Matt Rhule,c-81,c-169,c-139
2022,1,CAR,Matt Rhule,Phil Snow,Matt Rhule,c-139,c-169,c-139
2022,6,CAR,Ben McAdoo,Al Holcomb,Steve Wilks,c-14,c-4,c-197
2023,1,CAR,Frank Reich,Ejiro Evero,Frank Reich,c-65,c-60,c-65
2023,8,CAR,Thomas Brown,Ejiro Evero,Frank Reich,c-203,c-60,c-65
2023,11,CAR,Frank Reich,Ejiro Evero,Frank Reich,c-65,c-60,c-65
2023,13,CAR,Thomas Brown,Ejiro Evero,Chris Tabor,c-203,c-60,c-35
2024,1,CAR,Dave Canales,Ejiro Evero,Dave Canales,c-43,c-60,c-43
2017,1,CHI,Dowell Loggains,Vic Fangio,John Fox,c-57,c-212,c-103
2018,1,CHI,Matt Nagy,Vic Fangio,Matt Nagy,c-137,c-212,c-137
2019,1,CHI,Matt Nagy,Chuck Pagano,Matt Nagy,c-137,c-36,c-137
2020,10,CHI,Bill Lazor,Chuck Pagano,Matt Nagy,c-17,c-36,c-137
2021,1,CHI,Matt Nagy,Sean Desai,Matt Nagy,c-137,c-186,c-137
2021,4,CHI,Bill Lazor,Sean Desai,Matt Nagy,c-17,c-186,c-137
2021,15,CHI,Matt Nagy,Sean Desai,Matt Nagy,c-137,c-186,c-137
2021,16,CHI,Bill Lazor,Sean Desai,Matt Nagy,c-17,c-186,c-137
2022,1,CHI,Luke Getsy,Alan Williams,Matt Eberflus,c-128,c-5,c-135
2023,3,CHI,Luke Getsy,Matt Eberflus,Matt Eberflus,c-128,c-135,c-135
2024,1,CHI,Shane Waldron,Matt Eberflus,Matt Eberflus,c-193,c-135,c-135
2024,11,CHI,Thomas Brown,Matt Eberflus,Matt Eberflus,c-203,c-135,c-135
2024,14,CHI,Thomas Brown,Eric Washington,Thomas Brown,c-203,c-62,c-203
2025,1,CHI,Ben Johnson,Dennis Allen,Ben Johnson,c-13,c-49,c-13
2017,1,CIN,Ken Zampese,Paul Guenther,Marvin Lewis,c-116,c-165,c-132
2017,3,CIN,Bill Lazor,Paul Guenther,Marvin Lewis,c-17,c-165,c-132
2018,1,CIN,Bill Lazor,Teryl Austin,Marvin Lewis,c-17,c-202,c-132
2018,11,CIN,Bill Lazor,Marvin Lewis,Marvin Lewis,c-17,c-132,c-132
2019,1,CIN,Zac Taylor,Lou Anarumo,Zac Taylor,c-215,c-126,c-215
2025,1,CIN,Zac Taylor,Al Golden,Zac Taylor,c-215,c-3,c-215
