coach_name,coach_uid,season,week,quarter,team_code
Mike McCoy,161_McCoy,2018,1,1,ARI
Mike McCoy,161_McCoy,2018,1,2,ARI
Mike McCoy,161_McCoy,2018,1,3,ARI
Mike McCoy,161_McCoy,2018,1,4,ARI
Steve Sarkisian,215_Sarkisian,2018,1,1,ATL
Steve Sarkisian,215_Sarkisian,2018,1,2,ATL
Steve Sarkisian,215_Sarkisian,2018,1,3,ATL
Steve Sarkisian,215_Sarkisian,2018,1,4,ATL
Marty Mornhinweg,141_Mornhinweg,2018,1,1,BAL
Marty Mornhinweg,141_Mornhinweg,2018,1,2,BAL
Marty Mornhinweg,141_Mornhinweg,2018,1,3,BAL
Marty Mornhinweg,141_Mornhinweg,2018,1,4,BAL
Brian Daboll,27_Daboll,2018,1,1,BUF
Brian Daboll,27_Daboll,2018,1,2,BUF
Brian Daboll,27_Daboll,2018,1,3,BUF
Brian Daboll,27_Daboll,2018,1,4,BUF
Norv Turnver,174_Turnver,2018,1,1,CAR
Norv Turnver,174_Turnver,2018,1,2,CAR
Norv Turnver,174_Turnver,2018,1,3,CAR
Norv Turnver,174_Turnver,2018,1,4,CAR
Mark Helfrich,137_Helfrich,2018,1,1,CHI
Mark Helfrich,137_Helfrich,2018,1,2,CHI
Mark Helfrich,137_Helfrich,2018,1,3,CHI
Mark Helfrich,137_Helfrich,2018,1,4,CHI
Ken Zampese,121_Zampese,2018,1,1,CIN
Ken Zampese,121_Zampese,2018,1,2,CIN
Ken Zampese,121_Zampese,2018,1,3,CIN
Ken Zampese,121_Zampese,2018,1,4,CIN
Todd Haley,225_Haley,2018,1,1,CLE
Todd Haley,225_Haley,2018,1,2,CLE
Todd Haley,225_Haley,2018,1,3,CLE
Todd Haley,225_Haley,2018,1,4,CLE
Scott Linehan,205_Linehan,2018,1,1,DAL
Scott Linehan,205_Linehan,2018,1,2,DAL
Scott Linehan,205_Linehan,2018,1,3,DAL
Scott Linehan,205_Linehan,2018,1,4,DAL
Bill Musgrave,17_Musgrave,2018,1,1,DEN
Bill Musgrave,17_Musgrave,2018,1,2,DEN
Bill Musgrave,17_Musgrave,2018,1,3,DEN
Bill Musgrave,17_Musgrave,2018,1,4,DEN
Jim Bob Cooter,92_Bob Cooter,2018,1,1,DET
Jim Bob Cooter,92_Bob Cooter,2018,1,2,DET
Jim Bob Cooter,92_Bob Cooter,2018,1,3,DET
Jim Bob Cooter,92_Bob Cooter,2018,1,4,DET
Joe Philbin,100_Philbin,2018,1,1,GB
Joe Philbin,100_Philbin,2018,1,2,GB
